,Time,Name,Club,Date
0,3:02.4,Vasco Neto da Naia,scbm,31.08.58
1,2:54.0,Luis Vaz Jorge,fpn,01.08.63
2,2:53.8,Vitor Gama Cerqueira,fpn,24.07.69
3,2:53.5,Jose Luis Nunes,cdna,26.02.70
4,2:51.2,Jose Luis Nunes,cdna,14.03.70
5,2:49.9,Jose Luis Nunes,cdna,17.03.70
6,2:49.9,Carlos Alberto Oliveira,gdlm,12.08.72
7,2:49.3,Carlos Alberto Oliveira,gdlm,19.08.72
8,2:47.3,Luis Brito Rosa,anl,13.04.73
9,2:47.1,Carlos Alberto Oliveira,apdm,13.04.73
10,2:44.8,Henrique Carvalho Vicencio,fpn,09.08.73
11,2:44.2,Carlos Alberto Oliveira,indu,21.08.73
12,2:42.4,Henrique Carvalho Vicencio,sad,03.08.75
13,2:41.97,Henrique Carvalho Vicencio,fpn,24.07.76
14,2:40.20,Carlos Estevao Modesto,sad,08.08.78
15,2:38.28,Jaime Sarabando Fidalgo,fpn,07.04.79
16,2:36.4,Alexandre Felske Yokochi,slb,28.07.79
17,2:35.80,Jaime Sarabando Fidalgo,sad,07.08.79
18,2:32.45,Alexandre Felske Yokochi,fpn,14.03.80
19,2:30.00,Alexandre Felske Yokochi,fpn,19.04.80
20,2:29.28,Alexandre Felske Yokochi,fpn,06.07.80
21,2:28.28,Alexandre Felske Yokochi,fpn,10.08.80
22,2:25.69,Alexandre Felske Yokochi,fpn,24.04.81
23,2:25.06,Alexandre Felske Yokochi,fpn,07.09.81
24,2:22.19,Alexandre Felske Yokochi,fpn,16.04.82
25,2:19.76,Alexandre Felske Yokochi,fpn,02.08.84
26,2:19.63,Alexandre Felske Yokochi,fpn,09.08.85
27,2:18.92,Alexandre Felske Yokochi,fpn,28.08.85
28,2:17.99,Alexandre Felske Yokochi,fpn,21.08.86
29,2:17.91,Alexandre Felske Yokochi,fpn,21.08.87
30,2:17.87,Alexandre Felske Yokochi,fpn,23.09.88
31,2:17.28,Jose Guilherme Couto,fpn,24.07.96
32,2:16.39,Jose Guilherme Couto,fpn,22.08.97
33,2:14.90,Jose Guilherme Couto,fpn,22.08.97
34,2:13.34,Carlos Esteves Almeida,fpn,12.08.08
35,2:13.21,Carlos Esteves Almeida,fpn,01.08.13
36,2:11.92,Gabriel Jose Lopes,fpn,13.08.22
