"Time,Name,Club,Date,Place"
4:51.6 Eduardo José de Sousa fpn 30.08.60 Roma
4:42.3 António Bessone Basto fpn 01.08.63 Belém
4:39.5 Paulo José Frischknecht sad 01.07.74 Lisboa – Olivais
4:38.8 António Botelho de Melo gdlm 09.08.74 Lisboa – Olivais
4:33.5 Paulo José Frischknecht sad 20.07.75 Lisboa – Olivais
4:28.0 Paulo José Frischknecht sad 02.08.75 Lisboa – Olivais
4:27.8 António Botelho de Melo fpn 05.06.76 Neheim Hüsten
4:21.5 Paulo José Frischknecht fcp 14.08.76 Lisboa – Olivais
4:18.01 Paulo José Frischknecht sad 08.08.77 Coimbra
4:12.34 Rui Pinto Abreu fpn 18.08.77 Jönkoping
4:11.10 Paulo José Frischknecht fpn 18.08.77 Jönkoping
4:08.98 José Baltar Leite fpn 07.04.79 Rio de Janeiro
4:07.8 José Baltar Leite cfp 27.07.79 Matur
4:06.67 Artur Manuel Costa fpn 01.05.87 Buenos Aires
4:06.24 Artur Manuel Costa fpn 22.07.88 Maliaño
4:05.96 Artur Manuel Costa scp 05.08.88 Lisboa – Olivais
4:04.00 Artur Manuel Costa fpn 18.08.89 Bona
4:03.02 Artur Manuel Costa fpn 06.04.90 La Paz BC
4:02.76 Artur Manuel Costa fpn 09.08.90 Roma
4:00.36 Artur Manuel Costa fpn 15.03.92 Sarcelles
3:58.62 Artur Manuel Costa fpn 31.05.92 Canet
3:58.61 Luís Miguel Monteiro fcp 03.08.01 Loulé
3:55.57 Luís Miguel Monteiro fcp 10.05.02 Jamor
3:55.56 Fernando Eurico Costa lsc 28.07.07 Aveiro
3:55.30 Fábio Manuel Pereira fpn 14.06.08 Canet
3:52.29 Jorge Manuel Maia fpn 05.04.09 Málaga
